FN1_1,FN1_2,FN1_3,FN1_4,FN1_5,FN1_6,FN1_7,FN1_8,FN1_9,FN1_10,FN1_11,FN1_11_1,FN1_11_2,FN1_11_3,FN1_11_4,FN1_13,FN1_13_1,FN1_14,FN1_15,FN1_16,FN1_17,FN1_18,FN1_19,FN1_20,FN1_21,FN1_21_1,FN1_22,FN1_22_1,FN1_22_2,FN1_23,FN1_24,FN1_24_1,FN2_1,FN2_1_1,FN2_2,FN2_2_1,FN2_3,FN2_3_1,FN2_3_2,FN2_3_3,FN2_3_4,FN2_3_5,FN2_4,FN2_5,FN2_5_1,FN2_7,FN2_8,FN2_9,FN2_10,FN2_10_1,FN3_1,FN3_2,FN3_2_1,FN3_2_2,FN3_3,FN3_4_1,FN3_4_2,FN3_6,FN3_7,FN3_8,FN3_10,FN3_10_1,FN3_11,FN3_11_1,PERF_12M
149532.0,21784.0,149532.0,0,21784.0,0,0,0,0,0,1095,577,0,0,0.0,171316.0,198555.0,18704.0,0,0,1413,0,18704.0,100000,0,100000,20116.0,0,0,20116.0,120116.0,190108.0,6746.0,13643.0,12982.0,-6236.0,64059,-70295,-34722,0,0,0,0,-70295,-34722,17632,5608,-58271.0,-58275,-3976,0,0.0,0,0,-77777800000000.0,0,0,20.12,-52099,-74289.0,100.0,171316.0,130828,-2710,0
155956.0,0.0,155076.0,880,0.0,0,0,0,0,0,7442,179,0,0,0.0,155956.0,120478.0,9398.0,0,0,1828,0,9398.0,60000,0,60000,-6166.0,0,0,-6166.0,53834.0,12510.0,281815.0,318074.0,218114.0,63701.0,63645,56,-604336,0,0,0,0,56,-604336,41,0,97.0,96,18395,0,0.0,0,0,-77777800000000.0,0,0,-10.28,134,53.0,100.0,155956.0,146558,-57856,0
142891.0,12200.0,73936.0,68955,12200.0,0,0,0,0,0,70706,123016,0,0,0.0,155091.0,103589.0,49224.0,0,0,13351,0,49224.0,50000,0,50000,83754.0,0,0,83754.0,133754.0,131287.0,411610.0,409515.0,185345.0,226265.0,207907,18358,-32767,0,0,0,0,18358,-32767,39,627,17770.0,14456,97255,0,0.0,0,0,-77777800000000.0,0,0,167.51,14483,14483.0,100.0,155091.0,93667,-1377,0
70294.0,84795.0,64776.0,5518,0.0,0,0,0,0,0,0,397412,0,0,0.0,155089.0,103589.0,94558.0,0,0,697,0,94558.0,10000,0,10000,5212.0,0,0,5212.0,15212.0,20126.0,487280.0,225165.0,391431.0,95849.0,232176,-136327,-57717,0,0,0,0,-136327,-57717,4444,0,-131883.0,-132167,-13519,0,0.0,0,0,-77777800000000.0,0,0,52.12,-132144,-136411.0,45.32,70294.0,-24264,-36193,0
57876.0,90235.0,57876.0,0,24382.0,0,0,0,0,0,28751,17232,0,15346,0.0,148111.0,175690.0,41929.0,0,0,37470,0,41929.0,10000,0,10000,21215.0,0,0,21215.0,31215.0,41217.0,190574.0,438331.0,133911.0,56663.0,114509,-57846,99546,0,0,0,0,-57846,99546,24461,736,-34121.0,-34122,79144,0,0.0,0,0,-77777800000000.0,0,0,212.15,-34104,-57450.0,55.54,82258.0,15947,-21467,0
82680.0,64853.0,45876.0,36804,61953.0,0,0,0,0,0,0,397412,0,2900,0.0,147533.0,238995.0,29485.0,0,0,0,0,29485.0,60000,0,60000,-23046.0,0,0,-23046.0,36954.0,38777.0,39437.0,146128.0,11468.0,27969.0,28454,-485,46603,0,0,0,0,-485,46603,3613,7,3121.0,2619,33921,0,0.0,0,0,-77777800000000.0,0,0,-38.41,6109,-651.0,98.03,144633.0,53195,-2515,0
130497.0,6221.0,58460.0,72037,5721.0,0,0,0,0,0,28590,40757,0,0,0.0,136718.0,172946.0,30747.0,0,0,23510,0,30747.0,6000,0,6000,21636.0,0,0,21636.0,27636.0,102891.0,176212.0,175215.0,109224.0,66988.0,57396,9592,126705,0,0,0,0,9592,126705,1901,300,11193.0,9953,-93539,0,0.0,0,0,-77777800000000.0,0,0,360.6,11331,7991.0,99.63,136218.0,99750,-19719,0
105557.0,12173.0,105557.0,0,12173.0,0,0,0,0,0,4611,34606,0,0,0.0,117730.0,99434.0,4826.0,0,0,1524,0,4826.0,1000,0,1000,85281.0,0,0,85281.0,86281.0,-248552.0,169106.0,316381.0,0.0,169106.0,152697,16409,1695,0,0,0,0,16409,1695,2154,43,18520.0,18410,16475,0,0.0,0,0,-77777800000000.0,0,0,8528.1,19523,17249.0,100.0,117730.0,100731,-5050,0
105597.0,207.0,32435.0,73162,207.0,0,0,0,0,0,50,53853,0,0,0.0,105804.0,118573.0,30309.0,0,0,0,0,30309.0,100000,0,100000,-107863.0,0,0,-107863.0,-7863.0,-15639.0,168856.0,58997.0,181373.0,-12517.0,86789,-99306,19569,0,0,0,0,-99306,19569,647,122,-98781.0,-109384,66108,0,0.0,0,0,-77777800000000.0,0,0,-107.86,-109362,-110063.0,100.0,105804.0,75288,-5910,0
98153.0,5004.0,98153.0,0,2992.0,0,0,0,0,0,74060,58557,0,0,0.0,103157.0,65573.0,16584.0,0,0,13673,0,16584.0,20000,0,20000,34202.0,0,0,34202.0,54202.0,216238.0,152130.0,96002.0,121444.0,30686.0,19107,11579,32415,0,0,0,0,11579,32415,25,6,11598.0,6260,10123,0,0.0,0,0,-77777800000000.0,0,0,171.01,6285,8985.0,98.05,101145.0,81569,-4602,0
87267.0,3052.0,80252.0,7015,0.0,0,0,0,0,0,18254,103665,0,0,0.0,90319.0,62934.0,6011.0,0,1528,0,1528,7539.0,5000,0,5000,56963.0,0,0,56963.0,61963.0,29554.0,286832.0,307857.0,63895.0,222937.0,209781,13156,144120,0,0,0,0,13156,144120,21942,27,35071.0,34858,12546,0,0.0,0,0,-77777800000000.0,0,0,1139.26,34923,15238.0,96.62,87267.0,81256,-40570,0
53846.0,29457.0,53846.0,0,29457.0,0,0,0,0,0,5113,30738,0,0,0.0,83303.0,70015.0,61336.0,0,0,1978,0,61336.0,48000,0,48000,4426.0,0,0,4426.0,52426.0,13213.0,126976.0,129318.0,0.0,126976.0,189677,-62701,50562,0,0,0,0,-62701,50562,165142,21301,81140.0,74147,59823,0,0.0,0,0,-77777800000000.0,0,0,9.22,74213,-81602.0,100.0,83303.0,-7490,-32467,0
76617.0,5100.0,76617.0,0,0.0,0,0,0,0,0,39197,34439,0,0,0.0,81717.0,63164.0,55803.0,0,0,31459,0,55803.0,51000,0,51000,43426.0,0,0,43426.0,94426.0,71396.0,86315.0,69854.0,55737.0,30578.0,67791,-37213,-18512,0,0,0,0,-37213,-18512,2712,92,-34593.0,-34630,-25359,0,0.0,0,0,-77777800000000.0,0,0,85.15,-34620,-36587.0,93.76,76617.0,20814,-25529,0
66891.0,10970.0,66891.0,0,3659.0,0,0,0,0,0,99,3499,0,7311,0.0,77861.0,72492.0,39949.0,0,30000,2255,30000,69949.0,1000,0,1000,-81232.0,0,0,-81232.0,-80232.0,1881.0,120926.0,36610.0,13061.0,107865.0,182302,-74437,-66904,0,0,0,0,-74437,-66904,1559,1,-72879.0,-72944,-37512,0,0.0,0,0,-77777800000000.0,0,0,-8123.2,-71464,-73975.0,90.61,70550.0,26942,6108,0
2225.0,57484.0,2225.0,0,27918.0,0,0,0,0,0,1473,9190,0,0,0.0,59709.0,78540.0,54598.0,0,0,9107,0,54598.0,40000,0,40000,-4948.0,0,0,-4948.0,35052.0,44109.0,202668.0,202466.0,106629.0,96039.0,184269,-88230,-584737,0,0,0,0,-88230,-584737,3125,502,-85607.0,-85827,-132229,0,0.0,0,0,-77777800000000.0,0,0,-12.37,-85801,-88389.0,50.48,30143.0,-52373,-1122,0
24199.0,32558.0,18858.0,5341,32558.0,0,0,0,0,0,520,80697,0,0,0.0,56757.0,60105.0,14651.0,0,0,4826,0,14651.0,10000,0,10000,12244.0,0,0,12244.0,22244.0,296267.0,231579.0,323589.0,185713.0,45866.0,92590,-46724,3057,0,0,0,0,-46724,3057,7524,4319,-43519.0,-48824,-54359,0,0.0,0,0,-77777800000000.0,0,0,122.44,-48819,-51856.0,100.0,56757.0,9548,-17128,0
22647.0,0.0,22647.0,0,0.0,0,0,0,0,0,7175,1940,0,0,0.0,22647.0,3667.0,30603.0,0,0,100,0,30603.0,68000,0,68000,-71923.0,0,0,-71923.0,-3923.0,12574.0,37610.0,36658.0,5969.0,31641.0,45279,-13638,5350,0,0,0,0,-13638,5350,2627,0,-11011.0,-12398,-948,0,0.0,0,0,-77777800000000.0,0,0,-105.77,-12397,-14975.0,100.0,22647.0,-7956,-20030,0
7694.0,5313.0,7694.0,0,5313.0,0,0,0,0,0,0,397412,0,0,0.0,13007.0,6608.0,7409.0,0,0,0,0,7409.0,0,0,0,1081.0,0,0,1081.0,1081.0,79305.0,107943.0,145932.0,0.0,107943.0,135487,-27544,-184723,0,0,0,0,-27544,-184723,11228,728,-17044.0,-17063,-35499,0,0.0,0,0,-77777800000000.0,0,0,0.0,-17058,-28530.0,100.0,13007.0,285,-9424,0
266422.0,6985.0,266422.0,0,0.0,0,0,0,0,0,3816,16917,0,6985,0.0,273407.0,269694.0,35650.0,0,0,318,0,35650.0,10000,0,10000,43821.0,0,0,43821.0,53821.0,87971.0,279204.0,289795.0,0.0,279204.0,283795,-4591,114755,0,0,0,0,-4591,114755,69039,132,64316.0,45676,-22360,0,0.0,0,0,-77777800000000.0,0,0,438.21,45700,-24768.0,97.45,266422.0,230772,-265379,0
58910.0,209901.0,58910.0,0,16505.0,0,0,0,0,0,20735,8292,0,0,0.0,268811.0,78129.0,38372.0,0,0,14290,0,38372.0,50000,0,50000,177711.0,0,0,177711.0,227711.0,178128.0,266381.0,465465.0,45838.0,220543.0,157138,63405,222802,0,0,0,0,63405,222802,3963,4,67364.0,61857,78984,0,0.0,0,0,-77777800000000.0,0,0,355.42,61880,58243.0,28.06,75415.0,20538,-26513,0
233410.0,14863.0,218787.0,14623,4030.0,0,0,0,0,0,800,3239,0,0,833.0,248273.0,98581.0,67930.0,0,0,57759,0,67930.0,100000,0,100000,77972.0,0,0,77972.0,177972.0,64641.0,412862.0,276057.0,339307.0,73555.0,82815,-9260,6880,0,0,0,0,-9260,6880,7085,185,-2360.0,-3334,19195,0,0.0,0,0,-77777800000000.0,0,0,77.97,-2261,-6385.0,95.64,237440.0,165480,-145896,0
229502.0,5347.0,229502.0,0,1787.0,0,0,0,0,0,0,397412,0,0,0.0,234849.0,293493.0,20817.0,0,0,0,0,20817.0,51000,0,51000,156351.0,0,0,156351.0,207351.0,224916.0,176230.0,320336.0,0.0,176230.0,179193,-2963,-1451,0,0,0,0,-2963,-1451,1072,0,-1891.0,-2425,-99897,0,0.0,0,0,-77777800000000.0,0,0,306.57,-2400,3123.0,98.48,231289.0,208685,-192266,0
181388.0,29619.0,181388.0,0,0.0,0,0,0,0,0,0,397412,0,0,0.0,211007.0,263408.0,54240.0,0,0,0,1992,56232.0,31000,0,31000,172575.0,0,0,172575.0,203575.0,165882.0,211029.0,104829.0,0.0,211029.0,212009,-980,9344,0,0,0,0,-980,9344,2990,2,2008.0,1919,2553,0,0.0,0,0,-77777800000000.0,0,0,556.69,1969,2881.0,85.96,181388.0,127148,-144725,0
120952.0,83974.0,111440.0,9512,83974.0,0,0,0,0,0,20934,26828,0,0,0.0,204926.0,353218.0,4496.0,0,0,0,0,4496.0,55000,0,55000,46441.0,0,0,46441.0,101441.0,-218773.0,356936.0,273885.0,210052.0,146884.0,157229,-10345,-162496,0,0,0,0,-10345,-162496,2560,1,-7786.0,-7785,-340974,0,0.0,0,0,-77777800000000.0,0,0,84.44,-5024,-8412.0,100.0,204926.0,116456,-19048,0
24408.0,169837.0,22005.0,2403,15309.0,0,0,0,0,0,17390,16884,0,4528,80000.0,194245.0,143012.0,3914.0,0,233543,0,233543,237457.0,47000,0,47000,-103134.0,0,0,-103134.0,-56134.0,-52293.0,1367.0,150824.0,3171.0,-1804.0,201029,-202833,-312602,0,0,0,0,-202833,-312602,2215,366,-200984.0,-200964,-3634,0,0.0,0,0,-77777800000000.0,0,0,-219.43,-200964,-202702.0,20.45,39717.0,20494,222232,0
163507.0,0.0,163507.0,0,0.0,0,0,0,0,0,55026,38793,0,0,0.0,163507.0,167047.0,11310.0,0,0,0,0,11310.0,9000,0,9000,112631.0,0,0,112631.0,121631.0,39078.0,234459.0,202006.0,94183.0,140276.0,137163,3113,16097,0,0,0,0,3113,16097,3669,0,6782.0,4125,3471,0,0.0,0,0,-77777800000000.0,0,0,1251.46,4903,1580.0,100.0,163507.0,152197,-33818,0
137839.0,10078.0,121374.0,16465,10078.0,0,0,0,0,0,6648,4955,0,0,0.0,147917.0,192064.0,9156.0,0,0,687,0,9156.0,10000,0,10000,24506.0,0,0,24506.0,34506.0,38477.0,240626.0,356438.0,154201.0,86425.0,59963,26462,42730,0,0,0,0,26462,42730,1556,100,27918.0,27445,39564,0,0.0,0,0,-77777800000000.0,0,0,245.06,27454,28098.0,100.0,147917.0,128683,-149289,0
146071.0,265.0,146071.0,0,0.0,0,0,0,0,0,0,397412,0,0,100.0,146336.0,138153.0,4271.0,0,0,0,0,4271.0,10000,0,10000,124035.0,0,0,124035.0,134035.0,94320.0,248285.0,135870.0,58783.0,189502.0,186647,2855,-7378,0,0,0,0,2855,-7378,1456,290,4021.0,4006,13577,0,0.0,0,0,-77777800000000.0,0,0,1240.35,4845,11922.0,99.82,146071.0,141800,-5845,0
132107.0,3764.0,50361.0,81746,1748.0,0,0,0,0,0,54795,13909,0,0,0.0,135871.0,98009.0,19710.0,0,33709,8865,33709,53419.0,62000,0,62000,-156358.0,0,0,-156358.0,-94358.0,-49153.0,179518.0,114483.0,120844.0,58674.0,69167,-10493,27656,0,0,0,0,-10493,27656,26,3,-10470.0,-13636,68893,0,0.0,0,0,-77777800000000.0,0,0,-252.19,-13608,-13668.0,98.52,133855.0,112397,16852,0
105852.0,25274.0,103824.0,2028,7.0,0,0,0,0,0,74163,82962,0,0,0.0,131126.0,123517.0,64682.0,0,0,850,0,64682.0,49000,0,49000,82678.0,0,0,82678.0,131678.0,47940.0,169426.0,89709.0,76342.0,93084.0,110986,-17902,104005,0,0,0,0,-17902,104005,345,2,-17559.0,-18808,38293,0,0.0,0,0,-77777800000000.0,0,0,168.73,-18795,-18123.0,80.73,105859.0,41170,-15779,0
41326.0,74574.0,22104.0,19222,74574.0,0,0,0,0,0,16517,710,0,0,0.0,115900.0,88308.0,76072.0,0,0,5620,6457,82529.0,19000,0,19000,-5399.0,0,0,-5399.0,13601.0,10453.0,161666.0,147297.0,1914.0,159752.0,222388,-62636,-510853,0,0,0,0,-62636,-510853,578,438,-62496.0,-62496,-497125,0,0.0,0,0,-77777800000000.0,0,0,-28.42,-62495,-62709.0,100.0,115900.0,-34746,-6689,0
112790.0,973.0,112790.0,0,973.0,0,0,0,0,0,4736,9426,0,0,0.0,113763.0,19280.0,3201.0,0,35047,0,35047,38248.0,9000,0,9000,58194.0,0,0,58194.0,67194.0,33369.0,194246.0,118464.0,145894.0,48352.0,53148,-4796,-9006,0,0,0,0,-4796,-9006,1157,133,-3772.0,-4057,-33985,0,0.0,0,0,-77777800000000.0,0,0,646.6,-4003,-4808.0,100.0,113763.0,109589,11986,0
20273.0,89465.0,20273.0,0,13284.0,0,0,0,0,0,1068,4192,0,76181,0.0,109738.0,190439.0,4176.0,0,59413,0,70008,74184.0,47000,0,47000,-93309.0,0,0,-93309.0,-46309.0,649223.0,22638.0,59768.0,1215.0,21423.0,33681,-12258,-3791,0,0,0,0,-12258,-3791,30,0,-12228.0,-12233,2899,0,0.0,0,0,-77777800000000.0,0,0,-198.53,-12189,-12257.0,30.58,33557.0,16097,60949,0
79704.0,15907.0,79704.0,0,6165.0,0,0,0,0,0,20147,12848,0,0,0.0,95611.0,59035.0,34542.0,0,0,28020,0,34542.0,50000,0,50000,97312.0,0,0,97312.0,147312.0,272028.0,304977.0,134309.0,46041.0,258936.0,264196,-5260,-517584,0,0,0,0,-5260,-517584,1094,17,-4183.0,-4184,-415251,0,0.0,0,0,-77777800000000.0,0,0,194.62,-4173,-436.0,89.81,85869.0,45162,-7498,0
85976.0,0.0,35706.0,50270,0.0,0,0,0,0,0,160,40715,0,0,0.0,85976.0,54880.0,22151.0,0,0,9703,0,22151.0,30000,0,30000,49094.0,0,0,49094.0,79094.0,128502.0,338814.0,321279.0,112479.0,226335.0,213355,12980,36765,0,0,0,0,12980,36765,2103,466,14617.0,13037,17238,0,0.0,0,0,-77777800000000.0,0,0,163.65,13041,14091.0,100.0,85976.0,63825,0,0
51159.0,8359.0,21916.0,29243,0.0,0,0,0,0,0,0,397412,0,3332,0.0,59518.0,118528.0,114542.0,0,0,2176,0,114542.0,50000,0,50000,-107160.0,0,0,-107160.0,-57160.0,-4367.0,78114.0,122577.0,26558.0,51556.0,45073,6483,26124,0,0,0,0,6483,26124,8673,1176,13980.0,13347,-177514,0,0.0,0,0,-77777800000000.0,0,0,-214.32,13362,5313.0,85.96,51159.0,-63383,-4796,0
40558.0,17122.0,40558.0,0,17122.0,0,0,0,0,0,1466,1030,0,0,0.0,57680.0,64325.0,20779.0,0,0,0,0,20779.0,24000,0,24000,-13798.0,0,0,-13798.0,10202.0,28810.0,52369.0,12280.0,0.0,52369.0,91168,-38799,-44097,0,0,0,0,-38799,-44097,32971,167,-5995.0,-6000,23099,0,0.0,0,0,-77777800000000.0,0,0,-57.49,-5998,-39917.0,100.0,57680.0,19779,-22276,0
44012.0,11959.0,44012.0,0,11959.0,0,0,0,0,0,1865,9684,0,0,0.0,55971.0,76475.0,24294.0,0,20116,2563,20116,44410.0,19000,0,19000,29925.0,0,0,29925.0,48925.0,39000.0,454939.0,487123.0,182326.0,272613.0,235615,36998,-304230,0,0,0,0,36998,-304230,2226,466,38758.0,38757,-294852,0,0.0,0,0,-77777800000000.0,0,0,157.5,38826,38228.0,100.0,55971.0,19718,-20115,0
43798.0,0.0,40967.0,2831,0.0,0,0,0,0,0,0,397412,0,0,0.0,43798.0,72215.0,0.0,0,0,0,0,0.0,1000,0,1000,1504.0,0,0,1504.0,2504.0,-625.0,311765.0,247567.0,255305.0,56460.0,81311,-24851,209620,0,0,0,0,-24851,209620,6,112,-24957.0,-24997,209386,0,0.0,0,0,-77777800000000.0,0,0,150.4,-24993,-24899.0,100.0,43798.0,43798,-28369,0
29979.0,250.0,17912.0,12067,0.0,0,0,0,0,0,7278,4362,0,0,0.0,30229.0,14050.0,3094.0,0,0,0,0,3094.0,2000,0,2000,10580.0,0,0,10580.0,12580.0,-177083.0,114869.0,72248.0,60946.0,53923.0,27688,26235,-4965,0,0,0,0,26235,-4965,1292,0,27527.0,27017,-683507,0,0.0,0,0,-77777800000000.0,0,0,529.0,27021,25915.0,99.17,29979.0,26885,-3206,0
2519.0,23518.0,2519.0,0,13164.0,0,0,0,0,0,0,397412,0,0,0.0,26037.0,24019.0,150074.0,0,0,0,0,150074.0,10000,0,10000,-119169.0,0,0,-119169.0,-109169.0,-55914.0,21087.0,108270.0,1904.0,19183.0,64133,-44950,416248,0,0,0,0,-44950,416248,1032,0,-43918.0,-43915,426522,0,0.0,0,0,-77777800000000.0,0,0,-1191.69,-43913,-44896.0,60.23,15683.0,-147555,-3256,0
22675.0,1142.0,14941.0,7734,1142.0,0,0,0,0,0,799,1062,0,0,0.0,23817.0,12761.0,5958.0,0,0,340,0,5958.0,0,0,0,9658.0,0,0,9658.0,9658.0,26865.0,60862.0,48008.0,47903.0,12959.0,54573,-41614,-120641,0,0,0,0,-41614,-120641,17480,163,-24297.0,-24298,-42311,0,0.0,0,0,-77777800000000.0,0,0,0.0,-24293,-42680.0,100.0,23817.0,16717,-13635,0
15955.0,21.0,15955.0,0,21.0,0,0,0,0,0,1720,35799,0,0,0.0,15976.0,19242.0,11027.0,0,0,0,0,11027.0,9000,0,9000,11908.0,0,0,11908.0,20908.0,25936.0,29032.0,26058.0,0.0,29032.0,36890,-7858,30594,0,0,0,0,-7858,30594,21253,450,12945.0,12382,25519,0,0.0,0,0,-77777800000000.0,0,0,132.31,12396,-8771.0,100.0,15976.0,4928,-11527,0
5929.0,998.0,5929.0,0,0.0,0,0,0,0,0,0,397412,0,0,0.0,6927.0,15055.0,19429.0,0,0,19188,28330,47759.0,5000,0,5000,-6993.0,0,0,-6993.0,-1993.0,-10089.0,46494.0,15995.0,24048.0,22446.0,7876,14570,22645,0,0,0,0,14570,22645,12,0,14582.0,12879,56047,0,0.0,0,0,-77777800000000.0,0,0,-139.86,12891,12891.0,85.59,5929.0,-13500,-1219,0
206445.0,116460.0,206445.0,0,51681.0,0,0,0,0,0,29297,34742,0,29779,0.0,322905.0,325230.0,19727.0,0,0,0,0,19727.0,101000,0,101000,161271.0,0,0,161271.0,262271.0,249610.0,301923.0,324603.0,0.0,301923.0,290885,11038,17489,0,0,0,0,11038,17489,3132,0,14170.0,13647,2958,0,0.0,0,0,-77777800000000.0,0,0,159.67,13680,21400.0,79.94,258126.0,186718,-130310,0
280345.0,38352.0,144196.0,136149,15057.0,0,0,0,0,0,112051,152939,0,0,3116.0,318697.0,377394.0,14622.0,0,0,0,0,14622.0,50000,0,50000,44427.0,0,0,44427.0,94427.0,71396.0,277531.0,245188.0,182185.0,95346.0,127136,-31790,-54828,0,0,0,0,-31790,-54828,18398,0,-13392.0,-13395,-45290,0,0.0,0,0,-77777800000000.0,0,0,88.85,-13366,-31808.0,92.69,295402.0,265723,-5569,0
160074.0,151333.0,160074.0,0,944.0,0,0,0,0,0,56313,395904,0,0,150389.0,311407.0,253750.0,71443.0,0,0,58391,0,71443.0,48000,0,48000,144435.0,0,0,144435.0,192435.0,133549.0,119100.0,75275.0,0.0,119100.0,173392,-54292,-74253,0,0,0,0,-54292,-74253,2909,335,-51718.0,-51790,54861,0,0.0,0,0,-77777800000000.0,0,0,300.91,-51783,-55033.0,51.71,161018.0,88631,-125954,0
227423.0,29168.0,227423.0,0,29168.0,0,0,0,0,0,26906,69685,0,0,0.0,256591.0,185932.0,27980.0,0,0,0,69613,97593.0,0,0,0,152967.0,0,0,152967.0,152967.0,106132.0,200685.0,163041.0,435.0,200250.0,181613,18637,55636,0,0,0,0,18637,55636,1013,98,19552.0,14744,33817,0,0.0,0,0,-77777800000000.0,0,0,0.0,14771,15690.0,100.0,256591.0,199443,-115983,0
